"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2024","428.16","428.24","432.48","408.17","323.38M","-0.50%"
"09/01/2024","430.30","417.91","441.85","400.80","376.97M","3.15%"
"08/01/2024","417.14","420.79","427.46","385.58","451.92M","-0.29%"
"07/01/2024","418.35","448.66","468.35","412.21","440.45M","-6.40%"
"06/01/2024","446.95","415.52","456.17","408.92","342.37M","7.67%"
"05/01/2024","415.13","392.61","433.60","390.31","413.81M","6.63%"
"04/01/2024","389.33","423.95","429.37","388.03","441.10M","-7.46%"
"03/01/2024","420.72","411.27","430.82","398.39","426.45M","1.71%"
"02/01/2024","413.64","401.83","420.82","397.22","444.20M","4.04%"
"01/01/2024","397.58","373.86","415.32","366.50","528.49M","5.73%"
"12/01/2023","376.04","376.76","378.16","362.90","522.08M","-0.76%"
"11/01/2023","378.91","339.79","384.30","339.65","564.17M","12.07%"
"10/01/2023","338.11","316.28","346.20","311.21","540.96M","7.08%"
"09/01/2023","315.75","331.31","340.86","309.45","416.77M","-3.66%"
"08/01/2023","327.76","335.19","338.54","311.55","479.67M","-2.43%"
"07/01/2023","335.92","339.19","366.78","327.00","666.96M","-1.36%"
"06/01/2023","340.54","325.93","351.47","322.50","547.75M","3.70%"
"05/01/2023","328.39","306.97","335.94","303.40","600.86M","6.88%"
"04/01/2023","307.26","286.52","308.93","275.37","551.52M","6.58%"
"03/01/2023","288.30","250.76","289.27","245.61","747.75M","15.59%"
"02/01/2023","249.42","248.00","276.76","245.47","615.54M","0.65%"
"01/01/2023","247.81","243.08","249.83","219.35","666.17M","3.33%"
"12/01/2022","239.82","253.87","263.92","233.87","591.37M","-6.00%"
"11/01/2022","255.14","234.60","255.33","213.43","615.33M","9.91%"
"10/01/2022","232.13","235.41","251.04","219.13","671.37M","-0.33%"
"09/01/2022","232.90","258.87","267.45","232.73","575.60M","-10.93%"
"08/01/2022","261.47","277.82","294.18","260.66","477.18M","-6.86%"
"07/01/2022","280.74","256.39","282.00","245.94","534.99M","9.31%"
"06/01/2022","256.83","275.19","277.69","241.51","621.50M","-5.53%"
"05/01/2022","271.87","277.71","290.88","246.44","742.90M","-2.04%"
"04/01/2022","277.52","309.37","315.11","270.00","627.39M","-9.99%"
"03/01/2022","308.31","296.40","315.95","270.00","734.35M","3.19%"
"02/01/2022","298.79","310.41","315.12","271.52","697.37M","-3.92%"
"01/01/2022","310.98","335.35","338.00","276.05","947.99M","-7.53%"
"12/01/2021","336.32","335.13","344.30","317.25","625.97M","1.73%"
"11/01/2021","330.59","331.36","349.67","326.37","509.89M","-0.31%"
"10/01/2021","331.62","282.12","332.00","280.25","516.52M","17.63%"
"09/01/2021","281.92","302.87","305.32","281.62","502.93M","-6.61%"
"08/01/2021","301.88","286.36","305.84","283.74","441.33M","5.96%"
"07/01/2021","284.91","269.61","290.15","269.60","522.69M","5.17%"
"06/01/2021","270.90","251.23","271.65","243.00","508.57M","8.50%"
"05/01/2021","249.68","253.40","254.35","238.07","495.09M","-0.99%"
"04/01/2021","252.18","238.47","263.19","238.05","568.70M","6.96%"
"03/01/2021","235.77","235.90","241.05","224.26","724.98M","1.46%"
"02/01/2021","232.38","235.06","246.13","227.88","490.98M","0.18%"
"01/01/2021","231.96","222.53","242.64","211.94","648.00M","4.29%"
"12/01/2020","222.42","214.51","227.18","209.11","594.57M","3.90%"
"11/01/2020","214.07","204.29","228.12","200.12","573.47M","5.73%"
"10/01/2020","202.47","213.49","225.21","199.62","631.67M","-3.74%"
"09/01/2020","210.33","225.51","232.86","196.25","768.53M","-6.74%"
"08/01/2020","225.53","211.52","231.15","203.14","692.50M","10.01%"
"07/01/2020","205.01","203.14","216.38","197.51","770.51M","0.74%"
"06/01/2020","203.51","182.54","204.40","181.35","765.01M","11.06%"
"05/01/2020","183.25","175.80","187.51","173.80","688.96M","2.25%"
"04/01/2020","179.21","153.00","180.40","150.36","984.81M","13.63%"
"03/01/2020","157.71","165.31","175.00","132.52","1.61B","-2.65%"
"02/01/2020","162.01","170.43","190.70","152.00","887.89M","-4.83%"
"01/01/2020","170.23","158.78","174.05","156.51","559.25M","7.95%"
"12/01/2019","157.70","151.81","159.55","146.65","452.66M","4.17%"
"11/01/2019","151.38","144.26","152.50","142.97","393.03M","5.59%"
"10/01/2019","143.37","139.66","145.67","133.22","563.29M","3.12%"
"09/01/2019","139.03","136.61","142.37","134.51","477.65M","0.85%"
